0.0250244,11.2714,0
3.86597,16.1743,1.16998
9.59717,7.00562,1.79187
16.4563,14.9316,0.348206
17.1783,14.2096,1.02704
6.07971,0.299683,0.1828
7.28882,2.94617,0.331787
19.7699,8.91357,0.238159
0.0933838,0.178223,0.755737
10.6329,11.4233,1.20349
12.1429,3.32458,1.32605
9.0155,7.04224,0.114075
12.1533,15.6659,1.60516
10.3973,6.03882,1.75189
14.5331,19.1174,1.85138
10.7867,2.84668,0.924133
4.70642,17.2443,0.419189
15.5927,16.8726,1.99353
19.9933,12.2296,0.784851
5.3241,5.94543,1.68024
0.474854,7.51709,0.185242
13.5437,1.12427,0.0175781
18.3752,5.51758,0.545776
11.7578,13.8232,1.67517
14.5294,9.69849,0.410706
14.8743,9.3689,0.915894
18.9825,14.8883,0.216553
11.9806,7.70447,1.46997
12.179,11.4478,0.722656
3.03101,4.50195,0.850281
16.0571,10.3418,1.97992
15.0305,6.91101,0.337952
13.1458,9.83765,0.127075
13.9948,10.0958,0.294983
18.9911,2.83142,1.81018
13.8574,6.06079,0.853088
1.40747,19.3317,1.36633
3.06458,17.5446,1.64331
11.6406,3.8269,0.355774
16.3434,9.505,0.311096
10.0781,14.6399,0.811157
5.59143,11.3745,1.36444
15.1166,14.4379,0.950562
2.46033,7.35596,1.66931
0.701904,10.34,1.32593
8.52417,2.09351,1.89862
18.4271,10.9906,0.691956
9.4342,7.49939,1.69391
6.33728,9.1217,0.543762
19.6588,5.95581,1.47833
11.3452,3.91968,1.52258
